// Log of inequalities that have been verified by interval arithmetic.
QED, ineq(ZTGIJCF0), secs(0), svn(1962,57), Tue Sep  7 19:33:59 ICT 2010
QED, ineq(ZTGIJCF0), secs(0), svn(1962,57), Tue Sep  7 19:35:50 ICT 2010
QED, ineq(ZTGIJCF0), secs(0), svn(1962,57), Tue Sep  7 19:36:52 ICT 2010
QED, ineq(ZTGIJCF0), secs(0), svn(1962,57), Tue Sep  7 19:37:34 ICT 2010
QED, ineq(ZTGIJCF0), secs(0), svn(1962,57), Tue Sep  7 19:39:41 ICT 2010
QED, ineq(ZTGIJCF0), secs(0), svn(1962,57), Tue Sep  7 19:40:31 ICT 2010
QED, ineq(ZTGIJCF0), secs(0), svn(1962,57), Tue Sep  7 19:46:31 ICT 2010
QED, ineq(ZTGIJCF0), secs(0), svn(1962,57), Tue Sep  7 19:49:20 ICT 2010
QED, ineq(ZTGIJCF0), secs(0), svn(1963,57), Wed Sep  8 09:51:55 ICT 2010
QED, ineq(1550635295), secs(1), svn(1963,57), Wed Sep  8 09:51:59 ICT 2010
QED, ineq(2563100177), secs(10), svn(1963,57), Wed Sep  8 09:52:13 ICT 2010
QED, ineq(3137600529), secs(4), svn(1963,57), Wed Sep  8 10:17:51 ICT 2010
QED, ineq(3137600529), secs(4), svn(1963,57), Wed Sep  8 10:29:27 ICT 2010
QED, ineq(3137600529), secs(4), svn(1963,57), Wed Sep  8 11:00:39 ICT 2010
QED, ineq(3137600529), secs(4), svn(1963,57), Wed Sep  8 12:51:00 ICT 2010
QED, ineq(3137600529), secs(4), svn(1963,57), Wed Sep  8 12:56:16 ICT 2010
QED, ineq(3137600529), secs(1), svn(1963,57), Wed Sep  8 14:02:27 ICT 2010
QED, ineq(3137600529), secs(0), svn(1963,57), Wed Sep  8 14:06:02 ICT 2010
QED, ineq(3137600529), secs(1), svn(1963,57), Wed Sep  8 14:06:57 ICT 2010
QED, ineq(3137600529), secs(1), svn(1963,57), Wed Sep  8 14:08:19 ICT 2010
QED, ineq(3137600529), secs(0), svn(1963,57), Wed Sep  8 14:09:00 ICT 2010
QED, ineq(3137600529), secs(0), svn(1963,57), Wed Sep  8 14:17:05 ICT 2010
QED, ineq(3137600529), secs(0), svn(1963,57), Wed Sep  8 14:18:46 ICT 2010
QED, ineq(3137600529), secs(4), svn(1963,57), Wed Sep  8 15:52:36 ICT 2010
QED, ineq(3137600529), secs(4), svn(1963,57), Wed Sep  8 15:53:51 ICT 2010
QED, ineq(3137600529), secs(4), svn(1963,57), Wed Sep  8 15:55:29 ICT 2010
QED, ineq(1965189142 34), secs(0), svn(1966,57), Wed Sep  8 15:56:36 ICT 2010
QED, ineq(ZTGIJCF0), secs(0), svn(1966,57), Wed Sep  8 15:56:38 ICT 2010
QED, ineq(2563100177), secs(11), svn(1966,57), Wed Sep  8 15:56:55 ICT 2010
QED, ineq(1550635295), secs(1), svn(1966,57), Wed Sep  8 16:39:07 ICT 2010
QED, ineq(1550635295), secs(0), svn(1966,57), Wed Sep  8 16:40:59 ICT 2010
QED, ineq(1550635295), secs(0), svn(1966,57), Wed Sep  8 16:49:41 ICT 2010
QED, ineq(1550635295), secs(1), svn(1966,57), Wed Sep  8 17:03:35 ICT 2010
QED, ineq(1965189142 34), secs(0), svn(1967,57), Wed Sep  8 17:04:49 ICT 2010
QED, ineq(ZTGIJCF0), secs(0), svn(1967,57), Wed Sep  8 17:04:51 ICT 2010
QED, ineq(1550635295), secs(0), svn(1967,57), Wed Sep  8 17:04:54 ICT 2010
QED, ineq(2563100177), secs(11), svn(1967,57), Wed Sep  8 17:05:08 ICT 2010
QED, ineq(4652969746 2), secs(29), svn(1967,57), Wed Sep  8 17:05:39 ICT 2010
QED, ineq(5735387903), secs(4), svn(1967,57), Wed Sep  8 17:05:46 ICT 2010
QED, ineq(4047599236), secs(15), svn(1967,57), Wed Sep  8 17:06:03 ICT 2010
QED, ineq(7726998381), secs(66), svn(1967,57), Wed Sep  8 17:07:12 ICT 2010
QED, ineq(7394240696), secs(96), svn(1967,57), Wed Sep  8 17:08:50 ICT 2010
QED, ineq(7718591733), secs(6), svn(1967,57), Wed Sep  8 17:08:59 ICT 2010
QED, ineq(1085358243), secs(19), svn(1967,57), Wed Sep  8 17:09:22 ICT 2010
QED, ineq(8611785756), secs(37), svn(1967,57), Wed Sep  8 17:10:02 ICT 2010
QED, ineq(181212899 1), secs(9), svn(1967,57), Wed Sep  8 17:10:14 ICT 2010
QED, ineq(8657368829), secs(4), svn(1967,57), Wed Sep  8 17:10:22 ICT 2010
QED, ineq(1550635295), secs(0), svn(1967,57), Wed Sep  8 19:08:10 ICT 2010
QED, ineq(1550635295), secs(1), svn(1967,57), Wed Sep  8 19:52:12 ICT 2010
QED, ineq(1550635295), secs(1), svn(1967,57), Wed Sep  8 20:09:12 ICT 2010
QED, ineq(1550635295), secs(0), svn(1969,57), Wed Sep  8 20:35:37 ICT 2010
QED, ineq(3137600529), secs(4), svn(1969,57), Wed Sep  8 20:53:00 ICT 2010
QED, ineq(6284721194), secs(2), svn(1969,57), Wed Sep  8 20:53:05 ICT 2010
QED, ineq(9185711902), secs(3), svn(1969,57), Wed Sep  8 20:53:11 ICT 2010
QED, ineq(6725783616), secs(7), svn(1969,57), Wed Sep  8 20:53:21 ICT 2010
QED, ineq(1248932983), secs(2), svn(1969,57), Wed Sep  8 20:53:26 ICT 2010
QED, ineq(1836408787), secs(1), svn(1969,57), Wed Sep  8 20:53:30 ICT 2010
QED, ineq(5943578801), secs(4), svn(1969,57), Wed Sep  8 20:53:37 ICT 2010
QED, ineq(2763799127), secs(16), svn(1969,57), Wed Sep  8 20:53:56 ICT 2010
QED, ineq(4306175952), secs(1), svn(1969,57), Wed Sep  8 20:54:00 ICT 2010
QED, ineq(2923748598), secs(1), svn(1969,57), Wed Sep  8 20:54:05 ICT 2010
QED, ineq(6410081357), secs(1), svn(1969,57), Wed Sep  8 20:54:09 ICT 2010
QED, ineq(7316455966), secs(0), svn(1969,57), Wed Sep  8 20:54:12 ICT 2010
QED, ineq(3425739813), secs(4), svn(1969,57), Wed Sep  8 20:54:19 ICT 2010
QED, ineq(5756588587), secs(2), svn(1969,57), Wed Sep  8 20:54:23 ICT 2010
