// 2012.  Started with the new version of nonlinear ineq prover.
QED, ineq(2763799127), secs(13),  cells(31940), svn(2866:2868,130), Tue Jun  5 18:11:32 ICT 2012
QED, ineq(4306175952), secs(1),  cells(1504), svn(2866:2868,130), Tue Jun  5 18:11:38 ICT 2012
QED, ineq(2923748598), secs(1),  cells(1962), svn(2866:2868,130), Tue Jun  5 18:11:44 ICT 2012
QED, ineq(6410081357), secs(0),  cells(1784), svn(2866:2868,130), Tue Jun  5 18:11:49 ICT 2012
QED, ineq(7316455966), secs(1),  cells(1544), svn(2866:2868,130), Tue Jun  5 18:11:55 ICT 2012
QED, ineq(3425739813), secs(3),  cells(8896), svn(2866:2868,130), Tue Jun  5 18:12:03 ICT 2012
QED, ineq(5756588587), secs(1),  cells(2876), svn(2866:2868,130), Tue Jun  5 18:12:09 ICT 2012
QED, ineq(4222324842), secs(0),  cells(2178), svn(2866:2868,130), Tue Jun  5 18:12:15 ICT 2012
QED, ineq(9641946727), secs(3),  cells(5696), svn(2866:2868,130), Tue Jun  5 18:12:22 ICT 2012
QED, ineq(2390583444), secs(0),  cells(1068), svn(2866:2868,130), Tue Jun  5 18:12:27 ICT 2012
QED, ineq(7291663656), secs(5),  cells(11752), svn(2866:2868,130), Tue Jun  5 18:12:37 ICT 2012
QED, ineq(6987934000), secs(1),  cells(1530), svn(2866:2868,130), Tue Jun  5 18:12:43 ICT 2012
QED, ineq(7819193535), secs(4),  cells(9796), svn(2866:2868,130), Tue Jun  5 18:12:52 ICT 2012
QED, ineq(8384511215), secs(4),  cells(11212), svn(2866:2868,130), Tue Jun  5 18:13:01 ICT 2012
QED, ineq(4750199435), secs(10),  cells(24252), svn(2866:2868,130), Tue Jun  5 18:13:16 ICT 2012
QED, ineq(1894886027), secs(1),  cells(2114), svn(2866:2868,130), Tue Jun  5 18:13:22 ICT 2012
QED, ineq(5835568093), secs(2),  cells(2666), svn(2866:2868,130), Tue Jun  5 18:13:28 ICT 2012
QED, ineq(4002562507), secs(1),  cells(3274), svn(2866:2868,130), Tue Jun  5 18:13:34 ICT 2012
QED, ineq(7409690040), secs(2),  cells(2702), svn(2866:2868,130), Tue Jun  5 18:13:41 ICT 2012
QED, ineq(9925287433), secs(0),  cells(1086), svn(2866:2868,130), Tue Jun  5 18:13:46 ICT 2012
QED, ineq(4841020453), secs(1),  cells(1126), svn(2866:2868,130), Tue Jun  5 18:13:52 ICT 2012
QED, ineq(3139693500), secs(0),  cells(1476), svn(2866:2868,130), Tue Jun  5 18:13:57 ICT 2012
QED, ineq(3872614111), secs(0),  cells(1062), svn(2866:2868,130), Tue Jun  5 18:14:04 ICT 2012
